series,race,seed,mode,style,driver,totalRaceTime,fastestLap,pitStops,finalTyre
STYLE,Race2,14,AGENTS,Conservative,Leclerc,5206.375,90.270,7,WetTyre
STYLE,Race2,15,AGENTS,Aggressive,Leclerc,5207.348,89.564,2,IntermediateTyre
STYLE,Race2,15,AGENTS,Balanced,Leclerc,5219.450,89.893,2,IntermediateTyre
STYLE,Race2,15,AGENTS,Conservative,Leclerc,5226.661,90.173,4,IntermediateTyre
STYLE,Race2,16,AGENTS,Aggressive,Leclerc,5225.867,89.852,1,WetTyre
STYLE,Race2,16,AGENTS,Balanced,Leclerc,5240.027,90.118,1,WetTyre
STYLE,Race2,16,AGENTS,Conservative,Leclerc,5249.430,90.358,1,WetTyre
STYLE,Race2,17,AGENTS,Aggressive,Leclerc,5204.800,89.660,6,IntermediateTyre
STYLE,Race2,17,AGENTS,Balanced,Leclerc,5222.784,89.902,2,IntermediateTyre
STYLE,Race2,17,AGENTS,Conservative,Leclerc,5197.371,90.205,8,IntermediateTyre
STYLE,Race2,18,AGENTS,Aggressive,Leclerc,5174.564,89.597,6,IntermediateTyre
STYLE,Race2,18,AGENTS,Balanced,Leclerc,5187.977,89.931,6,IntermediateTyre
STYLE,Race2,18,AGENTS,Conservative,Leclerc,5227.736,90.333,2,IntermediateTyre
STYLE,Race2,19,AGENTS,Aggressive,Leclerc,5185.428,89.580,6,IntermediateTyre
STYLE,Race2,19,AGENTS,Balanced,Leclerc,5187.023,89.961,10,IntermediateTyre
STYLE,Race2,19,AGENTS,Conservative,Leclerc,5200.289,90.326,6,IntermediateTyre
STYLE,Race2,20,AGENTS,Aggressive,Leclerc,5203.445,89.781,7,WetTyre
STYLE,Race2,20,AGENTS,Balanced,Leclerc,5243.986,90.093,1,WetTyre
STYLE,Race2,20,AGENTS,Conservative,Leclerc,5251.571,90.450,1,WetTyre
STYLE,Race3,1,AGENTS,Aggressive,Antonelli,3692.228,90.634,1,IntermediateTyre
STYLE,Race3,1,AGENTS,Balanced,Antonelli,3696.657,90.954,2,WetTyre
STYLE,Race3,1,AGENTS,Conservative,Antonelli,3689.412,91.076,4,WetTyre
STYLE,Race3,2,AGENTS,Aggressive,Antonelli,3655.169,90.484,6,MediumTyre
STYLE,Race3,2,AGENTS,Balanced,Antonelli,3686.114,90.689,3,IntermediateTyre
STYLE,Race3,2,AGENTS,Conservative,Antonelli,3694.430,91.034,3,IntermediateTyre
STYLE,Race3,3,AGENTS,Aggressive,Antonelli,3688.837,90.563,1,IntermediateTyre
STYLE,Race3,3,AGENTS,Balanced,Antonelli,3698.402,90.937,1,IntermediateTyre
STYLE,Race3,3,AGENTS,Conservative,Antonelli,3677.423,91.117,3,IntermediateTyre
STYLE,Race3,4,AGENTS,Aggressive,Antonelli,3649.731,90.410,7,MediumTyre
STYLE,Race3,4,AGENTS,Balanced,Antonelli,3664.968,90.818,4,MediumTyre
STYLE,Race3,4,AGENTS,Conservative,Antonelli,3669.191,90.937,6,MediumTyre
STYLE,Race3,5,AGENTS,Aggressive,Antonelli,3662.237,90.469,5,IntermediateTyre
STYLE,Race3,5,AGENTS,Balanced,Antonelli,3664.434,90.750,7,IntermediateTyre
STYLE,Race3,5,AGENTS,Conservative,Antonelli,3671.699,90.949,8,WetTyre
STYLE,Race3,6,AGENTS,Aggressive,Antonelli,3649.347,90.335,6,MediumTyre
STYLE,Race3,6,AGENTS,Balanced,Antonelli,3660.607,90.655,8,MediumTyre
STYLE,Race3,6,AGENTS,Conservative,Antonelli,3690.097,90.940,4,MediumTyre
STYLE,Race3,7,AGENTS,Aggressive,Antonelli,3665.187,90.396,5,IntermediateTyre
STYLE,Race3,7,AGENTS,Balanced,Antonelli,3686.613,90.725,4,WetTyre
STYLE,Race3,7,AGENTS,Conservative,Antonelli,3685.814,91.005,4,WetTyre
STYLE,Race3,8,AGENTS,Aggressive,Antonelli,3661.791,90.576,2,MediumTyre
STYLE,Race3,8,AGENTS,Balanced,Antonelli,3670.459,90.850,3,MediumTyre
STYLE,Race3,8,AGENTS,Conservative,Antonelli,3675.495,91.126,5,MediumTyre
STYLE,Race3,9,AGENTS,Aggressive,Antonelli,3678.330,90.725,4,WetTyre
STYLE,Race3,9,AGENTS,Balanced,Antonelli,3688.216,91.050,4,WetTyre
STYLE,Race3,9,AGENTS,Conservative,Antonelli,3685.608,91.180,2,WetTyre
STYLE,Race3,10,AGENTS,Aggressive,Antonelli,3659.575,90.604,7,MediumTyre
STYLE,Race3,10,AGENTS,Balanced,Antonelli,3670.041,90.704,3,MediumTyre
STYLE,Race3,10,AGENTS,Conservative,Antonelli,3679.252,90.984,3,MediumTyre
STYLE,Race3,11,AGENTS,Aggressive,Antonelli,3659.361,90.383,2,MediumTyre
STYLE,Race3,11,AGENTS,Balanced,Antonelli,3659.771,90.693,7,IntermediateTyre
STYLE,Race3,11,AGENTS,Conservative,Antonelli,3661.815,90.973,9,IntermediateTyre
STYLE,Race3,12,AGENTS,Aggressive,Antonelli,3655.609,90.325,5,MediumTyre
STYLE,Race3,12,AGENTS,Balanced,Antonelli,3665.880,90.872,6,MediumTyre
STYLE,Race3,12,AGENTS,Conservative,Antonelli,3669.281,91.058,9,IntermediateTyre
STYLE,Race3,13,AGENTS,Aggressive,Antonelli,3663.302,90.862,4,MediumTyre
STYLE,Race3,13,AGENTS,Balanced,Antonelli,3684.753,90.889,4,MediumTyre
STYLE,Race3,13,AGENTS,Conservative,Antonelli,3693.696,91.018,4,MediumTyre
STYLE,Race3,14,AGENTS,Aggressive,Antonelli,3661.860,90.386,5,MediumTyre
STYLE,Race3,14,AGENTS,Balanced,Antonelli,3662.033,90.937,12,MediumTyre
